protocol_id,reference_locations,go_literal_locations,interpretation
8403,battle_relay.py:139; battle_relay.py:70; layouts.py:245; layouts.py:254,protocol/battle_extra.go:19,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8404,battle_relay.py:139; battle_relay.py:195; battle_relay.py:70; layouts.py:255,protocol/battle_extra.go:20,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
9000,battle_relay.py:55; layouts.py:229,game/battle.go:59; game/pve_actors.go:117; game/reliable_event.go:37; game/rooms.go:351; protocol/reliable_event.go:24; protocol/stage_finish.go:10,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
9001,battle_relay.py:55; layouts.py:229,protocol/reliable_event.go:24,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
9002,battle_relay.py:55; layouts.py:229,game/battle.go:59; protocol/reliable_event.go:24,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
9006,handlers/lobby.py:66; menu_layouts.py:42,game/session.go:574,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
9040,engine.py:267; handlers/lobby.py:73; handlers/lobby.py:77; menu_layouts.py:68; menu_layouts.py:70,game/session.go:697,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
9041,engine.py:267; handlers/lobby.py:73; menu_layouts.py:68; menu_layouts.py:70,game/session.go:697; game/session.go:705,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
9050,menu_layouts.py:194,game/session.go:728,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
9060,menu_layouts.py:197,game/session.go:706; game/session.go:712,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
9070,handlers/lobby.py:12; menu_layouts.py:75,game/session.go:619; game/session.go:628; game/session.go:651; protocol/names.go:176,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
9071,menu_layouts.py:197,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
9080,menu_layouts.py:191,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
9090,engine.py:267; handlers/lobby.py:84; handlers/lobby.py:88; menu_layouts.py:68,game/session.go:661; protocol/gift.go:9; protocol/gift.go:26,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
9091,engine.py:267; handlers/lobby.py:84; menu_layouts.py:68,game/session.go:658,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
9110,menu_layouts.py:197,game/session.go:660; game/session.go:673; game/session.go:679,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
9500,battle_receipts.py:97; battle_receipts.py:98; battle_relay.py:55; layouts.py:234,game/battle.go:59; game/pve_actors.go:118; game/reliable_event.go:38; game/reliable_event.go:39; game/rooms.go:352; protocol/reliable_event.go:26,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
9501,battle_relay.py:55; layouts.py:234,protocol/reliable_event.go:26,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
9502,battle_relay.py:55; layouts.py:234,game/battle.go:59; protocol/reliable_event.go:26,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
20360,handlers/lobby.py:104,game/session.go:818,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
20400,foster.py:73; pve.py:113; pve.py:22; pve.py:24; pve.py:52,desktop/foster_templates.go:14; protocol/pve_actor.go:6,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
20401,pve.py:113; pve.py:22,game/foster_progress.go:7; game/foster_spawns.go:17; protocol/pve_actor.go:7,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
20403,pve.py:109; pve.py:27; pve.py:70,protocol/pve_block.go:6,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
20404,foster.py:65; pve.py:109; pve.py:30,protocol/pve_block.go:7,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
20405,pve.py:107,game/foster_positions.go:9; protocol/foster_positions.go:5,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
20407,pve.py:115; pve.py:31,protocol/stage_wave.go:5; protocol/stage_wave.go:50,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
20546,handlers/lobby.py:39; menu_layouts.py:103,game/session.go:799,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
20547,menu_layouts.py:125,game/session.go:810,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
20561,engine.py:267; handlers/lobby.py:44; handlers/lobby.py:48; menu_layouts.py:78,game/session.go:600,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
20562,menu_layouts.py:200,game/session.go:607,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
20563,engine.py:267; handlers/lobby.py:44; handlers/lobby.py:49; menu_layouts.py:103,game/session.go:608; game/session.go:612,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
20564,menu_layouts.py:211,game/session.go:615,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
20565,engine.py:267; handlers/lobby.py:44; menu_layouts.py:103,game/session.go:608,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
20566,menu_layouts.py:216,game/session.go:617,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
20571,rooms.py:212,protocol/stage_wave.go:4,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
21000,handlers/training.py:10; handlers/training.py:11; handlers/training.py:19,game/session.go:822; game/session.go:823; game/session.go:827; game/session.go:834,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
21002,handlers/training.py:10; handlers/training.py:16,game/session.go:822; game/session.go:823; game/session.go:832; game/session.go:853; game/training.go:70; persistence/training_claim.go:19,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
21006,handlers/training.py:21,game/session.go:820,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
21410,handlers/lobby.py:19; menu_layouts.py:84,game/session.go:508,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
21411,menu_layouts.py:117,game/session.go:525; game/weapon_levels.go:11,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
21412,handlers/lobby.py:19; menu_layouts.py:87,game/session.go:527,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
21413,menu_layouts.py:121,game/weapon_levels.go:70; game/weapon_levels.go:76,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
